TimeStep,Station_PM,Speed
1463,27,70.0
1463,22,68.6
1463,11,70.2
1463,4,67.3
1463,0,70.9
1463,15,70.5
1463,24,68.2
1463,3,67.8
1463,12,69.8
1463,25,66.8
1463,1,69.1
1463,18,70.2
1463,20,68.8
1464,26,66.8
1464,27,67.8
1464,22,69.2
1464,11,69.2
1464,4,68.3
1464,0,70.7
1464,15,68.1
1464,24,67.8
1464,3,69.1
1464,12,67.5
1464,25,66.6
1464,1,68.9
1464,18,70.9
1464,20,70.0
1465,26,67.9
1465,27,67.5
1465,22,73.1
1465,11,69.3
1465,4,68.3
1465,0,71.0
1465,15,67.0
1465,24,69.0
1465,3,68.3
1465,12,67.5
1465,25,67.4
1465,1,70.2
1465,18,69.5
1465,20,69.8
1466,26,69.2
1466,27,68.7
1466,22,70.3
1466,11,68.1
1466,4,68.8
1466,0,70.0
1466,15,68.4
1466,24,71.5
1466,3,68.8
1466,12,67.9
1466,25,68.6
1466,1,66.7
1466,18,70.6
1466,20,70.8
1467,26,69.7
1467,27,68.4
1467,22,70.4
1467,11,69.5
1467,4,66.9
1467,0,72.4
1467,15,67.2
1467,24,69.1
1467,3,66.3
1467,12,68.9
1467,25,68.7
1467,1,70.9
1467,18,70.1
1467,20,70.7
1468,26,66.3
1468,27,70.4
1468,22,70.7
1468,11,67.1
1468,4,70.6
1468,0,71.1
1468,15,70.1
1468,24,69.6
1468,3,72.7
1468,12,69.0
1468,25,68.0
1468,1,70.7
1468,18,69.3
1468,20,70.7
1469,26,67.0
1469,27,70.2
1469,22,71.1
1469,11,68.3
1469,4,71.2
1469,0,69.5
1469,15,70.5
1469,24,69.5
1469,3,70.1
1469,12,67.0
1469,25,68.4
1469,1,69.6
1469,18,70.0
1469,20,67.5
1470,26,68.6
1470,27,67.7
1470,22,68.9
1470,11,69.6
1470,4,67.8
1470,0,70.6
1470,15,67.9
1470,24,69.4
1470,3,70.3
1470,12,68.5
1470,25,69.5
1470,1,69.1
1470,18,70.7
1470,20,69.1
1471,26,67.8
1471,27,63.5
1471,22,70.7
1471,11,70.4
1471,4,67.7
1471,0,71.0
1471,15,68.3
1471,24,68.8
1471,3,69.6
1471,12,70.4
1471,25,67.4
1471,1,70.3
1471,18,69.0
1471,20,68.8
1472,26,69.0
1472,27,66.0
1472,22,70.2
1472,11,69.4
1472,4,68.6
1472,0,68.9
1472,15,72.4
1472,24,70.0
1472,3,69.3
1472,12,69.6
1472,25,68.4
1472,1,68.7
1472,18,70.9
1472,20,69.1
1473,26,68.0
1473,27,68.0
1473,22,68.6
1473,11,68.2
1473,4,66.8
1473,0,70.1
1473,15,71.5
1473,24,70.2
1473,3,64.2
1473,12,67.3
1473,25,69.5
1473,1,68.7
1473,18,71.6
1473,20,70.5
1474,26,68.3
1474,27,66.7
1474,22,69.2
1474,11,68.2
1474,4,65.5
1474,0,70.2
1474,15,70.4
1474,24,69.8
1474,3,67.1
1474,12,68.2
1474,25,68.2
1474,1,70.0
1474,18,70.6
1474,20,70.5
1475,26,70.1
1475,27,66.6
1475,22,69.5
1475,11,67.1
1475,4,67.7
1475,0,70.5
1475,15,68.6
1475,24,67.6
1475,3,66.4
1475,12,67.4
1475,25,68.3
1475,1,70.1
1475,18,72.2
1475,20,70.1
1476,26,67.4
1476,27,60.7
1476,22,73.3
1476,11,64.6
1476,4,67.4
1476,0,70.2
1476,15,69.3
1476,24,68.2
1476,3,66.4
1476,12,67.7
1476,25,69.1
1476,1,69.9
1476,18,70.7
1476,20,71.8
1477,26,69.5
1477,27,61.3
1477,22,69.0
1477,11,66.5
1477,4,67.4
1477,0,70.0
1477,15,68.7
1477,24,72.8
1477,3,67.8
1477,12,66.2
1477,25,71.3
1477,1,69.6
1477,18,69.7
1477,20,68.7
1478,26,72.3
1478,27,67.6
1478,22,68.8
1478,11,65.7
1478,4,65.2
1478,0,70.2
1478,15,66.4
1478,24,68.4
1478,3,67.3
1478,12,64.8
1478,25,68.0
1478,1,69.5
1478,18,68.1
1478,20,65.3
1479,26,69.9
1479,27,62.4
1479,22,67.3
1479,11,65.8
1479,4,67.3
1479,0,71.6
1479,15,66.8
1479,24,68.1
1479,3,67.2
1479,12,66.3
1479,25,69.2
1479,1,70.4
1479,18,65.6
1479,20,67.5
1480,26,69.3
1480,27,66.3
1480,22,69.0
1480,11,66.0
1480,4,69.0
1480,0,70.8
1480,15,67.2
1480,24,68.7
1480,3,69.1
1480,12,66.8
1480,25,68.5
1480,1,70.9
1480,18,65.0
1480,20,63.6
1481,26,69.7
1481,27,67.3
1481,22,65.2
1481,11,65.9
1481,4,68.7
1481,0,71.6
1481,15,67.4
1481,24,69.8
1481,3,68.4
1481,12,65.3
1481,25,69.6
1481,1,69.9
1481,18,65.2
1481,20,67.3
1482,26,69.0
1482,27,68.7
1482,22,68.2
1482,11,68.4
1482,4,69.2
1482,0,70.1
1482,15,65.5
1482,24,65.0
1482,3,69.9
1482,12,67.5
1482,25,66.4
1482,1,70.0
1482,18,65.4
1482,20,66.4
1483,26,67.3
1483,27,64.7
1483,22,65.0
1483,11,67.4
1483,4,68.5
1483,0,71.4
1483,15,67.0
1483,24,68.1
1483,3,67.4
1483,12,66.6
1483,25,68.8
1483,1,69.6
1483,18,66.1
1483,20,65.1
1484,26,67.1
1484,27,67.3
1484,22,62.4
1484,11,69.0
1484,4,68.6
1484,0,68.8
1484,15,66.9
1484,24,63.3
1484,3,68.8
1484,12,68.8
1484,25,64.7
1484,1,70.0
1484,18,68.7
1484,20,65.9
1485,26,65.6
1485,27,63.9
1485,22,64.8
1485,11,69.1
1485,4,68.8
1485,0,69.7
1485,15,67.6
1485,24,65.8
1485,3,68.3
1485,12,67.9
1485,25,66.6
1485,1,70.0
1485,18,66.9
1485,20,66.6
1486,26,67.1
1486,27,63.8
1486,22,65.0
1486,11,68.5
1486,4,68.4
1486,0,68.2
1486,15,67.8
1486,24,66.8
1486,3,68.5
1486,12,68.7
1486,25,67.0
1486,1,69.4
1486,18,67.5
1486,20,66.1
1487,26,66.8
1487,27,65.2
1487,22,66.9
1487,11,68.6
1487,4,66.2
1487,0,70.4
1487,15,69.2
1487,24,68.1
1487,3,65.7
1487,12,67.8
1487,25,66.3
1487,1,69.8
1487,18,68.4
1487,20,68.3
1488,26,67.7
1488,27,65.3
1488,22,69.5
1488,11,67.6
1488,4,68.0
1488,0,70.7
1488,15,68.0
1488,24,68.0
1488,3,67.6
1488,12,68.3
1488,25,67.1
1488,1,70.1
1488,18,68.7
1488,20,69.4
1489,26,68.0
1489,27,66.8
1489,22,69.6
1489,11,67.6
1489,4,68.8
1489,0,70.9
1489,15,67.2
1489,24,69.4
1489,3,69.5
1489,12,69.8
1489,25,68.8
1489,1,71.1
1489,18,67.9
1489,20,68.8
1490,26,69.3
1490,27,66.0
1490,22,68.7
1490,11,65.8
1490,4,69.1
1490,0,69.1
1490,15,68.2
1490,24,68.6
1490,3,69.0
1490,12,64.5
1490,25,68.8
1490,1,69.0
1490,18,68.0
1490,20,68.5
1491,26,68.4
1491,27,67.4
1491,22,69.8
1491,11,67.1
1491,4,65.8
1491,0,69.8
1491,15,65.8
1491,24,69.5
1491,3,65.7
1491,12,67.9
1491,25,69.0
1491,1,69.6
1491,18,68.2
1491,20,68.6
1492,26,68.8
1492,27,67.5
1492,22,69.2
1492,11,68.7
1492,4,63.8
1492,0,67.0
1492,15,68.3
1492,24,69.9
1492,3,65.9
1492,12,67.2
1492,25,69.3
1492,1,68.8
1492,18,67.8
1492,20,69.1
1493,26,69.3
1493,27,68.6
1493,22,68.6
1493,11,67.7
1493,4,66.6
1493,0,70.9
1493,15,67.9
1493,24,69.5
1493,3,66.2
1493,12,68.6
1493,25,69.6
1493,1,69.8
1493,18,67.6
1493,20,64.2
1494,26,69.2
1494,27,69.0
1494,22,66.6
1494,11,64.1
1494,4,67.6
1494,0,70.4
1494,15,68.7
1494,24,68.4
1494,3,64.6
1494,12,67.7
1494,25,67.7
1494,1,69.1
1494,18,66.2
1494,20,64.8
1495,26,63.6
1495,27,67.7
1495,22,66.5
1495,11,62.1
1495,4,68.9
1495,0,70.6
1495,15,69.8
1495,24,67.4
1495,3,68.1
1495,12,64.9
1495,25,65.4
1495,1,69.7
1495,18,67.2
1495,20,66.0
1496,26,65.1
1496,27,66.5
1496,22,67.3
1496,11,65.9
1496,4,67.6
1496,0,70.7
1496,15,63.1
1496,24,67.0
1496,3,67.4
1496,12,65.1
1496,25,67.2
1496,1,70.8
1496,18,69.1
1496,20,68.1
1497,26,65.8
1497,27,66.9
1497,22,69.1
1497,11,66.4
1497,4,68.2
1497,0,70.6
1497,15,62.8
1497,24,67.8
1497,3,68.5
1497,12,64.7
1497,25,67.8
1497,1,69.5
1497,18,66.3
1497,20,69.9
1498,26,67.7
1498,27,67.8
1498,22,69.5
1498,11,68.1
1498,4,67.9
1498,0,70.5
1498,15,62.1
1498,24,69.3
1498,3,67.1
1498,12,67.4
1498,25,68.8
1498,1,70.2
1498,18,62.6
1498,20,68.6
1499,26,68.7
1499,27,68.6
1499,22,66.9
1499,11,68.2
1499,4,69.0
1499,0,70.1
1499,15,66.5
1499,24,70.5
1499,3,68.3
1499,12,67.0
1499,25,69.6
1499,1,70.1
1499,18,65.0
1499,20,63.9
1500,26,68.6
1500,27,69.1
1500,22,65.4
1500,11,66.2
1500,4,70.3
1500,0,69.3
1500,15,68.0
1500,24,64.2
1500,3,65.5
1500,12,67.6
1500,25,67.3
1500,1,68.7
1500,18,66.4
1500,20,66.2
1501,26,62.7
1501,27,65.2
1501,22,67.6
1501,11,68.6
1501,4,66.9
1501,0,69.6
1501,15,65.6
1501,24,62.3
1501,3,63.8
1501,12,67.9
1501,25,64.8
1501,1,69.3
1501,18,68.2
1501,20,65.9
1502,26,63.7
1502,27,63.4
1502,22,65.8
1502,11,68.3
1502,4,68.5
1502,0,69.1
1502,15,67.6
1502,24,63.9
1502,3,65.5
1502,12,68.6
1502,25,66.5
1502,1,69.2
1502,18,66.7
1502,20,68.6
1503,26,65.7
1503,27,64.2
1503,22,67.4
1503,11,66.9
1503,4,68.5
1503,0,68.9
1503,15,70.3
1503,24,65.4
1503,3,66.4
1503,12,67.9
1503,25,63.5
1503,1,68.4
1503,18,69.8
1503,20,66.6
1504,26,65.7
1504,27,65.5
1504,22,66.2
1504,11,67.2
1504,4,67.8
1504,0,69.5
1504,15,69.9
1504,24,66.5
1504,3,64.0
1504,12,68.6
1504,25,66.9
1504,1,68.6
1504,18,70.4
1504,20,70.0
1505,26,65.8
1505,27,66.0
1505,22,70.0
1505,11,69.5
1505,4,66.1
1505,0,68.7
1505,15,65.6
1505,24,67.8
1505,3,65.2
1505,12,68.5
1505,25,67.1
1505,1,68.9
1505,18,68.5
1505,20,69.3
1506,26,66.6
1506,27,63.1
1506,22,69.4
1506,11,70.3
1506,4,67.7
1506,0,68.1
1506,15,67.4
1506,24,69.2
1506,3,64.3
1506,12,69.7
1506,25,68.0
1506,1,68.8
1506,18,67.5
1506,20,68.1
1507,26,68.2
1507,27,66.3
1507,22,68.6
1507,11,66.0
1507,4,66.8
1507,0,69.8
1507,15,71.6
1507,24,68.1
1507,3,65.8
1507,12,68.4
1507,25,67.8
1507,1,69.9
1507,18,69.5
1507,20,67.1
1508,26,65.1
1508,27,64.1
1508,22,67.6
1508,11,67.2
1508,4,68.3
1508,0,70.2
1508,15,70.8
1508,24,66.0
1508,3,66.6
1508,12,67.3
1508,25,67.7
1508,1,71.1
1508,18,73.6
1508,20,70.0
1509,26,67.2
1509,27,61.3
1509,22,72.3
1509,11,68.3
1509,4,69.8
1509,0,69.4
1509,15,67.1
1509,24,64.8
1509,3,67.5
1509,12,68.4
1509,25,69.0
1509,1,71.5
1509,18,70.2
1509,20,70.4
1510,26,70.3
1510,27,65.6
1510,22,72.0
1510,11,68.8
1510,4,70.8
1510,0,68.8
1510,15,69.7
1510,24,71.7
1510,3,69.3
1510,12,68.8
1510,25,70.2
1510,1,70.4
1510,18,67.6
1510,20,67.7
1511,26,72.4
1511,27,67.0
1511,22,69.4
1511,11,72.3
1511,4,68.5
1511,0,69.8
1511,15,68.3
1511,24,71.5
1511,3,69.1
1511,12,71.2
1511,25,70.3
1511,1,70.9
1511,18,70.2
1511,20,67.4
1512,26,70.9
