TimeStep,Station_PM,Occupancy
15,0,0.0069
15,4,0.0118
15,7,0.0115
15,10,0.0166
15,11,0.0279
15,12,0.0214
15,13,0.0229
15,14,0.0167
15,17,0.0162
15,22,0.0117
15,8,0.0112
15,1,0.0118
15,20,0.0138
15,23,0.0155
15,3,0.0087
15,5,0.0084
15,24,0.0126
15,21,0.0146
16,2,0.0102
16,6,0.0094
16,15,0.03
16,19,0.0177
16,0,0.0072
16,4,0.0127
16,7,0.0101
16,10,0.0223
16,11,0.0324
16,12,0.0246
16,13,0.025
16,14,0.0181
16,17,0.017
16,22,0.0112
16,8,0.0082
16,1,0.009
16,20,0.0121
16,23,0.016
16,3,0.012
16,5,0.0067
16,24,0.0146
16,21,0.0097
17,2,0.0112
17,6,0.0106
17,15,0.0298
17,19,0.02
17,0,0.0079
17,4,0.0122
17,7,0.0091
17,10,0.0203
17,11,0.0235
17,12,0.0208
17,13,0.0359
17,14,0.0181
17,17,0.0185
17,22,0.0115
17,8,0.0089
17,1,0.011
17,20,0.0113
17,23,0.0135
17,3,0.0119
17,5,0.0069
17,24,0.012
17,21,0.0111
18,2,0.0071
18,6,0.0091
18,15,0.0236
18,19,0.0224
18,0,0.0063
18,4,0.0126
18,7,0.0093
18,10,0.0188
18,11,0.0243
18,12,0.0193
18,13,0.0229
18,14,0.0181
18,17,0.0175
18,22,0.0118
18,8,0.0091
18,1,0.0086
18,20,0.0089
18,23,0.0138
18,3,0.0106
18,5,0.0074
18,24,0.0109
18,21,0.0145
19,2,0.0092
19,6,0.0084
19,15,0.0246
19,19,0.0169
19,0,0.005
19,4,0.0128
19,7,0.008
19,10,0.0166
19,11,0.0243
19,12,0.0242
19,13,0.0353
19,14,0.0189
19,17,0.0146
19,22,0.0113
19,8,0.0068
19,1,0.0066
19,20,0.0036
19,23,0.0173
19,3,0.0099
19,5,0.0065
19,24,0.0123
19,21,0.0105
20,2,0.0098
20,6,0.0109
20,15,0.0284
20,19,0.0194
20,0,0.0055
20,4,0.0141
20,7,0.0091
20,10,0.0149
20,11,0.0205
20,12,0.0163
20,13,0.0279
20,14,0.0153
20,17,0.0154
20,22,0.0123
20,8,0.0076
20,1,0.0078
20,20,0.0147
20,23,0.0139
20,3,0.0105
20,5,0.0071
20,24,0.0075
20,21,0.0142
21,2,0.0061
21,6,0.0098
21,15,0.0239
21,19,0.0182
21,0,0.0058
21,4,0.0117
21,7,0.0097
21,10,0.0197
21,11,0.0273
21,12,0.0206
21,13,0.0235
21,14,0.0129
21,17,0.0126
21,22,0.0139
21,8,0.01
21,1,0.0072
21,20,0.0146
21,23,0.0151
21,3,0.0079
21,5,0.0062
21,24,0.0129
21,21,0.0158
22,2,0.0112
22,6,0.0112
22,15,0.0239
22,19,0.0183
22,0,0.0045
22,4,0.0124
22,7,0.0078
22,10,0.0152
22,11,0.0266
22,12,0.0207
22,13,0.0323
22,14,0.0186
22,17,0.0146
22,22,0.0128
22,8,0.0073
22,1,0.0063
22,20,0.0095
22,23,0.0179
22,3,0.0116
22,5,0.0054
22,24,0.0117
22,21,0.0142
23,2,0.0046
23,6,0.0086
23,15,0.0271
23,19,0.0154
23,0,0.0036
23,4,0.0093
23,7,0.0102
23,10,0.0168
23,11,0.0239
23,12,0.0206
23,13,0.0203
23,14,0.0194
23,17,0.015
23,22,0.0132
23,8,0.0094
23,1,0.0049
23,20,0.0105
23,23,0.0173
23,3,0.0057
23,5,0.0062
23,24,0.0146
23,21,0.0094
24,2,0.0074
24,6,0.0102
24,15,0.0273
24,19,0.016
24,0,0.0055
24,4,0.0103
24,7,0.0092
24,10,0.0165
24,11,0.0224
24,12,0.0202
24,13,0.0269
24,14,0.0144
24,17,0.0144
24,22,0.0105
24,8,0.0066
24,1,0.0071
24,20,0.0118
24,23,0.0109
24,3,0.0082
24,5,0.0073
24,24,0.0087
24,21,0.0114
25,2,0.007
25,6,0.008
25,15,0.0222
25,19,0.0209
25,0,0.0049
25,4,0.0133
25,7,0.0083
25,10,0.0177
25,11,0.023
25,12,0.0195
25,13,0.0255
25,14,0.0163
25,17,0.0146
25,22,0.0103
25,8,0.007
25,1,0.005
25,20,0.011
25,23,0.0125
25,3,0.0099
25,5,0.0062
25,24,0.0107
25,21,0.0081
26,2,0.0084
26,6,0.0094
26,15,0.0173
26,19,0.0173
26,0,0.0065
26,4,0.01
26,7,0.0087
26,10,0.0157
26,11,0.0182
26,12,0.0165
26,13,0.0191
26,14,0.0114
26,17,0.0125
26,22,0.0126
26,8,0.0078
26,1,0.0084
26,20,0.0066
26,23,0.0194
26,3,0.0094
