TimeStep,Station_PM,Occupancy
1461,26,0.0249
1461,27,0.0212
1461,22,0.0171
1461,11,0.0184
1461,4,0.0178
1461,0,0.0234
1461,15,0.0129
1461,24,0.0251
1461,3,0.0256
1461,12,0.0142
1461,25,0.0165
1461,1,0.0169
1461,18,0.0244
1461,20,0.0156
1462,26,0.0181
1462,27,0.02
1462,22,0.0203
1462,11,0.0207
1462,4,0.011
1462,0,0.0187
1462,15,0.0112
1462,24,0.0167
1462,3,0.0229
1462,12,0.0177
1462,25,0.0164
1462,1,0.0228
1462,18,0.0119
1462,20,0.0262
1463,26,0.0164
1463,27,0.0206
1463,22,0.0242
1463,11,0.0198
1463,4,0.0231
1463,0,0.0253
1463,15,0.0163
1463,24,0.0241
1463,3,0.0236
1463,12,0.013
1463,25,0.015
1463,1,0.0184
1463,18,0.0135
1463,20,0.0158
1464,26,0.0298
1464,27,0.0201
1464,22,0.0141
1464,11,0.0111
1464,4,0.0074
1464,0,0.0309
1464,15,0.0214
1464,24,0.0267
1464,3,0.0193
1464,12,0.0163
1464,25,0.0239
1464,1,0.0266
1464,18,0.0146
1464,20,0.0157
1465,26,0.0162
1465,27,0.0247
1465,22,0.0178
1465,11,0.0179
1465,4,0.0147
1465,0,0.0182
1465,15,0.0169
1465,24,0.0158
1465,3,0.0253
1465,12,0.0115
1465,25,0.0129
1465,1,0.0188
1465,18,0.0225
1465,20,0.0184
1466,26,0.0162
1466,27,0.0158
1466,22,0.0243
1466,11,0.0152
1466,4,0.0138
1466,0,0.0116
1466,15,0.0112
1466,24,0.0177
1466,3,0.0152
1466,12,0.0141
1466,25,0.0139
1466,1,0.014
1466,18,0.0186
1466,20,0.0161
1467,26,0.0196
1467,27,0.0164
1467,22,0.017
1467,11,0.0093
1467,4,0.008
1467,0,0.0341
1467,15,0.015
1467,24,0.0287
1467,3,0.0111
1467,12,0.007
1467,25,0.0193
1467,1,0.0235
1467,18,0.0093
1467,20,0.0133
1468,26,0.024
1468,27,0.0275
1468,22,0.0153
1468,11,0.0176
1468,4,0.0157
1468,0,0.0186
1468,15,0.0103
1468,24,0.0129
1468,3,0.031
1468,12,0.0111
1468,25,0.015
1468,1,0.022
1468,18,0.0169
1468,20,0.0155
1469,26,0.0139
1469,27,0.0152
1469,22,0.0146
1469,11,0.0077
1469,4,0.0152
1469,0,0.0292
1469,15,0.0128
1469,24,0.0157
1469,3,0.0155
1469,12,0.0109
1469,25,0.0124
1469,1,0.019
1469,18,0.0067
1469,20,0.0171
1470,26,0.0103
1470,27,0.0149
1470,22,0.0168
1470,11,0.0155
1470,4,0.0169
1470,0,0.0186
1470,15,0.0121
1470,24,0.0158
1470,3,0.018
1470,12,0.0089
1470,25,0.0098
1470,1,0.021
1470,18,0.0135
1470,20,0.01
1471,26,0.0163
1471,27,0.0147
1471,22,0.0153
1471,11,0.0172
1471,4,0.0204
1471,0,0.0192
1471,15,0.0122
1471,24,0.0155
1471,3,0.02
1471,12,0.0166
1471,25,0.0167
1471,1,0.0162
1471,18,0.0118
1471,20,0.0198
1472,26,0.0135
1472,27,0.0132
1472,22,0.0114
1472,11,0.0095
1472,4,0.0169
1472,0,0.0237
1472,15,0.0152
1472,24,0.0139
1472,3,0.0192
1472,12,0.0058
1472,25,0.0085
1472,1,0.0196
1472,18,0.0154
1472,20,0.0116
1473,26,0.0152
1473,27,0.0116
1473,22,0.0131
1473,11,0.0189
1473,4,0.0171
1473,0,0.0237
1473,15,0.0095
1473,24,0.0103
1473,3,0.0234
1473,12,0.0172
1473,25,0.0104
1473,1,0.02
1473,18,0.0161
1473,20,0.0182
1474,26,0.0086
1474,27,0.0118
1474,22,0.0205
1474,11,0.0168
1474,4,0.0185
1474,0,0.0168
1474,15,0.0154
1474,24,0.0129
1474,3,0.0145
1474,12,0.012
1474,25,0.0091
1474,1,0.0166
1474,18,0.0086
1474,20,0.0152
1475,26,0.0178
1475,27,0.0141
1475,22,0.0155
1475,11,0.0151
1475,4,0.0152
1475,0,0.0141
1475,15,0.0164
1475,24,0.0243
1475,3,0.016
1475,12,0.0129
1475,25,0.0171
1475,1,0.0123
1475,18,0.0181
1475,20,0.0121
1476,26,0.0182
1476,27,0.0219
1476,22,0.0163
1476,11,0.0232
1476,4,0.0141
1476,0,0.0155
1476,15,0.0136
1476,24,0.0141
1476,3,0.0146
1476,12,0.0152
1476,25,0.0122
1476,1,0.0126
1476,18,0.0202
1476,20,0.0258
1477,26,0.0141
1477,27,0.0169
1477,22,0.0226
1477,11,0.0129
1477,4,0.012
1477,0,0.0163
1477,15,0.0132
1477,24,0.0165
1477,3,0.0143
1477,12,0.0133
1477,25,0.0139
1477,1,0.0126
1477,18,0.0089
1477,20,0.0165
1478,26,0.0171
1478,27,0.0148
1478,22,0.015
1478,11,0.0134
1478,4,0.0138
1478,0,0.0131
1478,15,0.0187
1478,24,0.0221
1478,3,0.0135
1478,12,0.0116
1478,25,0.019
1478,1,0.0117
1478,18,0.0177
1478,20,0.0243
1479,26,0.0186
1479,27,0.0185
1479,22,0.0211
1479,11,0.0143
1479,4,0.0115
1479,0,0.0119
1479,15,0.0062
1479,24,0.0145
1479,3,0.0123
1479,12,0.0105
1479,25,0.0122
1479,1,0.0124
1479,18,0.0187
1479,20,0.0122
1480,26,0.0182
1480,27,0.0177
1480,22,0.0102
1480,11,0.0115
1480,4,0.011
1480,0,0.0167
1480,15,0.0101
1480,24,0.0221
1480,3,0.0116
1480,12,0.0097
1480,25,0.0181
1480,1,0.0091
1480,18,0.0079
1480,20,0.0179
1481,26,0.0159
1481,27,0.0192
1481,22,0.0169
1481,11,0.0151
1481,4,0.007
1481,0,0.0134
1481,15,0.0124
1481,24,0.011
1481,3,0.0132
1481,12,0.0098
1481,25,0.0079
1481,1,0.015
1481,18,0.0101
1481,20,0.0103
1482,26,0.0064
1482,27,0.0089
1482,22,0.0105
1482,11,0.0105
1482,4,0.0062
1482,0,0.0159
1482,15,0.0126
1482,24,0.0169
1482,3,0.013
1482,12,0.0147
1482,25,0.0127
1482,1,0.014
1482,18,0.013
1482,20,0.0134
1483,26,0.0173
1483,27,0.0181
1483,22,0.0175
1483,11,0.0119
1483,4,0.0097
1483,0,0.009
1483,15,0.0166
1483,24,0.0129
1483,3,0.0134
1483,12,0.0089
1483,25,0.0089
1483,1,0.0101
1483,18,0.0138
1483,20,0.018
1484,26,0.0138
1484,27,0.0079
1484,22,0.0213
1484,11,0.0066
1484,4,0.0121
1484,0,0.0209
1484,15,0.0105
1484,24,0.018
1484,3,0.0064
1484,12,0.0049
1484,25,0.0135
1484,1,0.0131
1484,18,0.0174
1484,20,0.0189
1485,26,0.0153
1485,27,0.0191
1485,22,0.0191
1485,11,0.0076
1485,4,0.0092
1485,0,0.0157
1485,15,0.0095
1485,24,0.0176
1485,3,0.0172
1485,12,0.0049
1485,25,0.0139
1485,1,0.0138
1485,18,0.01
1485,20,0.0186
1486,26,0.0202
1486,27,0.0199
1486,22,0.0135
1486,11,0.0115
1486,4,0.0129
1486,0,0.0129
1486,15,0.0092
1486,24,0.0193
1486,3,0.0108
1486,12,0.009
1486,25,0.0124
1486,1,0.0122
1486,18,0.0075
1486,20,0.0112
1487,26,0.0173
1487,27,0.0178
1487,22,0.0125
1487,11,0.009
1487,4,0.0163
1487,0,0.0137
1487,15,0.0057
1487,24,0.0115
1487,3,0.0136
1487,12,0.0086
1487,25,0.0178
1487,1,0.0113
1487,18,0.0101
1487,20,0.0101
1488,26,0.0115
1488,27,0.0147
1488,22,0.0102
1488,11,0.0141
1488,4,0.0087
1488,0,0.0101
1488,15,0.011
1488,24,0.0129
1488,3,0.015
1488,12,0.0105
1488,25,0.008
1488,1,0.0129
1488,18,0.0066
1488,20,0.0105
1489,26,0.0111
1489,27,0.0124
1489,22,0.0117
1489,11,0.0128
1489,4,0.0112
1489,0,0.0124
1489,15,0.0075
1489,24,0.0097
1489,3,0.0107
1489,12,0.0061
1489,25,0.0093
1489,1,0.0077
1489,18,0.0106
1489,20,0.0098
1490,26,0.0106
1490,27,0.0156
1490,22,0.0104
1490,11,0.0083
1490,4,0.0067
1490,0,0.022
1490,15,0.013
1490,24,0.0107
1490,3,0.0102
1490,12,0.0117
1490,25,0.0089
1490,1,0.0139
1490,18,0.0135
1490,20,0.009
1491,26,0.0097
1491,27,0.0106
1491,22,0.0069
1491,11,0.0166
1491,4,0.0146
1491,0,0.0191
1491,15,0.01
1491,24,0.0122
1491,3,0.016
1491,12,0.0109
1491,25,0.0073
1491,1,0.0159
1491,18,0.01
1491,20,0.0112
1492,26,0.0112
1492,27,0.0115
1492,22,0.012
1492,11,0.0055
1492,4,0.0199
1492,0,0.027
1492,15,0.0144
1492,24,0.008
1492,3,0.0172
1492,12,0.0089
1492,25,0.0086
1492,1,0.0188
1492,18,0.0123
1492,20,0.0149
1493,26,0.0076
1493,27,0.007
1493,22,0.013
1493,11,0.0056
1493,4,0.0138
1493,0,0.0114
1493,15,0.0122
1493,24,0.0165
1493,3,0.0181
1493,12,0.006
1493,25,0.0097
1493,1,0.0152
1493,18,0.0121
1493,20,0.0206
1494,26,0.0149
1494,27,0.0146
1494,22,0.0188
1494,11,0.0234
1494,4,0.0163
1494,0,0.0176
1494,15,0.0059
1494,24,0.0116
1494,3,0.0116
1494,12,0.0135
1494,25,0.0125
1494,1,0.0128
1494,18,0.016
1494,20,0.0157
1495,26,0.0211
1495,27,0.0163
1495,22,0.0176
1495,11,0.0195
1495,4,0.0052
1495,0,0.018
1495,15,0.0067
1495,24,0.0168
1495,3,0.0103
1495,12,0.0132
1495,25,0.0181
1495,1,0.0141
1495,18,0.0054
1495,20,0.0158
1496,26,0.0149
1496,27,0.0158
1496,22,0.0147
1496,11,0.0119
1496,4,0.0179
1496,0,0.0242
1496,15,0.019
1496,24,0.0237
1496,3,0.013
1496,12,0.0152
1496,25,0.0128
1496,1,0.0173
1496,18,0.0123
1496,20,0.0113
1497,26,0.0221
1497,27,0.023
1497,22,0.0182
1497,11,0.0117
1497,4,0.0188
1497,0,0.0168
1497,15,0.0235
1497,24,0.0078
1497,3,0.0178
1497,12,0.0104
1497,25,0.0153
1497,1,0.018
1497,18,0.0177
1497,20,0.0167
1498,26,0.0139
1498,27,0.0132
1498,22,0.0177
1498,11,0.0089
1498,4,0.0155
1498,0,0.0195
1498,15,0.0119
1498,24,0.0161
1498,3,0.0162
1498,12,0.0063
1498,25,0.0129
1498,1,0.0133
1498,18,0.0249
1498,20,0.0175
1499,26,0.0144
1499,27,0.0124
1499,22,0.0207
1499,11,0.0199
1499,4,0.0178
1499,0,0.0203
1499,15,0.0125
1499,24,0.0157
1499,3,0.0168
1499,12,0.014
1499,25,0.0132
1499,1,0.0181
1499,18,0.0118
1499,20,0.0282
1500,26,0.0181
1500,27,0.017
1500,22,0.0215
1500,11,0.0217
1500,4,0.0168
1500,0,0.0219
1500,15,0.0095
1500,24,0.0256
1500,3,0.0217
1500,12,0.0167
1500,25,0.0166
1500,1,0.0171
1500,18,0.0123
1500,20,0.0135
1501,26,0.023
1501,27,0.0219
1501,22,0.0123
1501,11,0.0124
1501,4,0.0172
1501,0,0.0185
1501,15,0.0192
1501,24,0.0196
1501,3,0.0185
1501,12,0.0137
1501,25,0.0171
1501,1,0.0203
1501,18,0.0126
1501,20,0.0168
1502,26,0.0171
1502,27,0.0188
1502,22,0.0195
1502,11,0.0197
1502,4,0.0179
1502,0,0.0244
1502,15,0.0163
1502,24,0.0181
1502,3,0.0173
1502,12,0.015
1502,25,0.0109
1502,1,0.0123
1502,18,0.0228
1502,20,0.0131
1503,26,0.0182
1503,27,0.0167
1503,22,0.0197
1503,11,0.017
1503,4,0.0152
1503,0,0.0253
1503,15,0.0152
1503,24,0.0191
1503,3,0.0154
1503,12,0.0117
1503,25,0.0198
1503,1,0.0225
1503,18,0.0204
1503,20,0.0262
1504,26,0.0187
1504,27,0.0212
1504,22,0.021
1504,11,0.0201
1504,4,0.0239
1504,0,0.0167
1504,15,0.0169
1504,24,0.0178
1504,3,0.0224
1504,12,0.0147
1504,25,0.0141
1504,1,0.0213
1504,18,0.0166
1504,20,0.0233
1505,26,0.0211
1505,27,0.0147
1505,22,0.0188
1505,11,0.0147
1505,4,0.0194
1505,0,0.0198
1505,15,0.0233
1505,24,0.0296
1505,3,0.018
