TimeStep,Station_Number,q_x
3.0,69.0,0.2150056
3.0,65.0,0.5089581
3.0,22.0,1.8957587
3.0,52.0,-43.69767
3.0,60.0,1.0746493
3.0,56.0,2.7954175
3.0,58.0,1.5069406
3.0,75.0,0.0048173964
4.0,294.0,-0.634912
4.0,181.0,-0.11533551
4.0,152.0,-0.94592655
4.0,118.0,-0.62304723
4.0,286.0,-0.7127416
4.0,281.0,-0.6906652
4.0,276.0,-0.63084733
4.0,272.0,-0.5674936
4.0,258.0,-0.34488407
4.0,256.0,-0.31987587
4.0,252.0,-0.27665013
4.0,224.0,-0.021783328
4.0,216.0,0.13185288
4.0,208.0,0.2895089
4.0,207.0,0.3042128
4.0,201.0,0.3450691
4.0,192.0,0.22315767
4.0,186.0,0.04713263
4.0,173.0,-0.2762189
4.0,144.0,-1.6352968
4.0,124.0,-4.224605
4.0,122.0,-3.758169
4.0,109.0,10.615647
4.0,107.0,7.8749027
4.0,97.0,0.56548
4.0,89.0,-0.0012614243
4.0,74.0,0.16825028
4.0,136.0,-2.6335404
4.0,99.0,1.0060132
4.0,79.0,0.004074201
4.0,199.0,0.33714557
4.0,297.0,-0.5618134
4.0,23.0,1.8933896
4.0,0.0,-31.66793
4.0,17.0,-3.5538702
4.0,5.0,-13.349884
4.0,12.0,0.7315712
4.0,7.0,1.719197
4.0,10.0,65.41323
4.0,45.0,1.2438898
4.0,157.0,-0.61039746
4.0,175.0,-0.2578668
4.0,247.0,-0.23381265
4.0,234.0,-0.14145657
4.0,268.0,-0.49936506
4.0,264.0,-0.43280903
4.0,226.0,-0.052281335
4.0,229.0,-0.09142042
4.0,212.0,0.21628621
4.0,196.0,0.30386913
4.0,220.0,0.049661357
4.0,170.0,-0.27587202
4.0,148.0,-1.2594166
4.0,77.0,0.0520245
4.0,161.0,-0.40141612
4.0,132.0,-3.289876
4.0,128.0,-3.9845738
4.0,117.0,0.7965969
4.0,92.0,0.08814585
4.0,69.0,0.522221
4.0,65.0,1.0131541
4.0,22.0,0.4685918
4.0,52.0,-30.688988
4.0,60.0,2.147671
4.0,56.0,2.5281851
4.0,58.0,2.9540527
4.0,75.0,0.12283492
5.0,294.0,-0.9333488
5.0,181.0,-0.14844386
5.0,152.0,-0.9821754
5.0,118.0,1.1311115
5.0,286.0,-0.74150825
5.0,281.0,-0.6361217
5.0,276.0,-0.5340072
5.0,272.0,-0.45649672
5.0,258.0,-0.24882515
5.0,256.0,-0.23000537
5.0,252.0,-0.20089892
5.0,224.0,-0.07886454
5.0,216.0,0.03859409
5.0,208.0,0.18485606
5.0,207.0,0.20081943
5.0,201.0,0.26093718
5.0,192.0,0.18100189
5.0,186.0,0.018481405
5.0,173.0,-0.33900478
5.0,144.0,-1.4617974
5.0,124.0,-1.4871264
5.0,122.0,-1.0334872
5.0,109.0,6.794907
5.0,107.0,4.9580626
5.0,97.0,0.06708882
5.0,89.0,0.022431528
5.0,74.0,0.50830686
5.0,136.0,-1.7853745
5.0,99.0,0.32655346
5.0,79.0,0.21740383
5.0,199.0,0.26251042
5.0,297.0,-1.0281029
5.0,23.0,2.2843199
5.0,0.0,-41.437317
5.0,17.0,-10.684219
5.0,5.0,-92.63637
5.0,12.0,59.804752
5.0,7.0,-4.743059
5.0,10.0,20.223354
5.0,45.0,1.6828837
5.0,157.0,-0.66289365
5.0,175.0,-0.31273347
5.0,247.0,-0.1783083
5.0,234.0,-0.14686534
5.0,268.0,-0.38529375
5.0,264.0,-0.3227116
5.0,226.0,-0.098981336
5.0,229.0,-0.12243859
5.0,212.0,0.11285287
5.0,196.0,0.24413843
5.0,220.0,-0.027167946
5.0,170.0,-0.34556663
5.0,148.0,-1.2387133
5.0,77.0,0.3097856
5.0,161.0,-0.45656693
5.0,132.0,-1.859273
5.0,128.0,-1.8250537
5.0,117.0,2.0387313
5.0,92.0,-0.003277988
5.0,69.0,1.1130185
5.0,65.0,1.9319891
5.0,22.0,2.6822395
5.0,52.0,-23.645044
5.0,60.0,1.9253659
5.0,56.0,-0.913489
5.0,58.0,0.50688344
5.0,75.0,0.43238288
6.0,294.0,-0.78122467
6.0,181.0,-0.15265855
6.0,152.0,-0.32260036
6.0,118.0,0.23163909
6.0,286.0,-0.6091966
6.0,281.0,-0.5170809
6.0,276.0,-0.4317354
6.0,272.0,-0.36917135
6.0,258.0,-0.21203458
6.0,256.0,-0.19962165
6.0,252.0,-0.18250453
6.0,224.0,-0.14129579
6.0,216.0,-0.051911578
6.0,208.0,0.08131923
6.0,207.0,0.09772188
6.0,201.0,0.17155933
6.0,192.0,0.13380796
6.0,186.0,-0.003175281
6.0,173.0,-0.2952302
6.0,144.0,-0.45529276
6.0,124.0,-0.963088
6.0,122.0,-0.8100364
6.0,109.0,4.591974
6.0,107.0,3.5760002
6.0,97.0,-0.021319022
6.0,89.0,0.11306861
6.0,74.0,1.1494031
6.0,136.0,-0.67480266
6.0,99.0,0.12545782
6.0,79.0,0.52940345
6.0,199.0,0.18130027
6.0,297.0,-0.86402714
6.0,23.0,-4.565937
6.0,0.0,-10.267781
6.0,17.0,-8.333901
6.0,5.0,57.21884
6.0,12.0,40.238823
6.0,7.0,2.038373
6.0,10.0,0.082737446
6.0,45.0,-9.388759
6.0,157.0,-0.22079498
6.0,175.0,-0.2867854
6.0,247.0,-0.17351589
6.0,234.0,-0.17622113
6.0,268.0,-0.31312522
6.0,264.0,-0.2652563
6.0,226.0,-0.15420154
6.0,229.0,-0.16733357
6.0,212.0,0.012614273
6.0,196.0,0.1771239
6.0,220.0,-0.10423237
6.0,170.0,-0.26169235
6.0,148.0,-0.38927415
6.0,77.0,0.71891665
6.0,161.0,-0.1520236
6.0,132.0,-0.83295286
6.0,128.0,-0.97130096
6.0,117.0,0.73381424
6.0,92.0,0.043063678
6.0,69.0,2.114598
6.0,65.0,1.1986027
6.0,22.0,-13.025481
6.0,52.0,-19.550365
6.0,60.0,-0.09568245
6.0,56.0,-0.0733819
6.0,58.0,0.12816358
6.0,75.0,0.98328185
7.0,294.0,-0.68784827
7.0,181.0,0.13561407
7.0,152.0,-0.04334785
7.0,118.0,-0.27422237
7.0,286.0,-0.5404053
7.0,281.0,-0.46515357
7.0,276.0,-0.39733502
7.0,272.0,-0.34791732
7.0,258.0,-0.22282204
7.0,256.0,-0.21316496
7.0,252.0,-0.2006335
7.0,224.0,-0.20547439
7.0,216.0,-0.1366529
7.0,208.0,-0.0049651414
7.0,207.0,0.01401709
7.0,201.0,0.121127054
7.0,192.0,0.1934474
7.0,186.0,0.16787758
7.0,173.0,0.19503988
7.0,144.0,-0.46013874
7.0,124.0,-1.0558696
7.0,122.0,-0.965144
7.0,109.0,3.965383
7.0,107.0,3.2871213
7.0,97.0,-0.18636197
7.0,89.0,0.25770152
7.0,74.0,2.119511
7.0,136.0,-0.8546828
7.0,99.0,-0.024422903
7.0,79.0,1.3172386
7.0,199.0,0.14919223
7.0,297.0,-0.7591686
7.0,23.0,-17.964321
7.0,0.0,2.483593
7.0,17.0,-20.703064
7.0,5.0,-1.5126718
7.0,12.0,13.165299
7.0,7.0,23.258324
7.0,10.0,-4.6824403
7.0,45.0,-20.974354
7.0,157.0,0.20027852
7.0,175.0,0.15808323
7.0,247.0,-0.1965059
7.0,234.0,-0.21638575
7.0,268.0,-0.30342737
7.0,264.0,-0.26520592
7.0,226.0,-0.21290155
7.0,229.0,-0.21833467
7.0,212.0,-0.07704957
7.0,196.0,0.1792282
7.0,220.0,-0.17948282
7.0,170.0,0.27579686
7.0,148.0,-0.25205874
7.0,77.0,1.7254133
7.0,161.0,0.34456533
7.0,132.0,-1.0028143
7.0,128.0,-1.0778227
7.0,117.0,0.095466524
7.0,92.0,0.030991627
7.0,69.0,-0.19176508
7.0,65.0,-0.31999093
7.0,22.0,-15.381884
7.0,52.0,-17.345953
7.0,60.0,-2.3143353
7.0,56.0,0.591524
7.0,58.0,-0.37976575
7.0,75.0,2.0751293
8.0,294.0,-0.6603507
8.0,181.0,0.58598506
8.0,152.0,-0.33016443
8.0,118.0,-0.24735293
8.0,286.0,-0.5306916
8.0,281.0,-0.46759027
8.0,276.0,-0.4110883
8.0,272.0,-0.36900172
8.0,258.0,-0.25544488
8.0,256.0,-0.24616395
8.0,252.0,-0.23404199
8.0,224.0,-0.24760902
8.0,216.0,-0.15554632
