TimeStep,Station_Number,k_t
3.0,92.0,-0.4167123
3.0,69.0,-0.29983363
3.0,65.0,-0.27371225
3.0,22.0,-0.11229954
3.0,52.0,-0.16192675
3.0,60.0,-0.25696352
3.0,56.0,-0.23934731
3.0,58.0,-0.24951373
3.0,75.0,-0.36856702
4.0,294.0,0.063238524
4.0,181.0,0.22962697
4.0,152.0,0.45165843
4.0,118.0,-0.37904233
4.0,286.0,0.03629969
4.0,281.0,0.020751817
4.0,276.0,0.0042709317
4.0,272.0,-0.009693041
4.0,258.0,-0.05793401
4.0,256.0,-0.06363991
4.0,252.0,-0.07321242
4.0,224.0,-0.03203237
4.0,216.0,0.018464146
4.0,208.0,0.07888678
4.0,207.0,0.08652596
4.0,201.0,0.12982161
4.0,192.0,0.18110201
4.0,186.0,0.20768967
4.0,173.0,0.27449635
4.0,144.0,0.545713
4.0,124.0,0.12739788
4.0,122.0,-0.03047597
4.0,109.0,-0.96204054
4.0,107.0,-0.87535715
4.0,97.0,-0.5283302
4.0,89.0,-0.31221864
4.0,74.0,-0.09504539
4.0,136.0,0.5865426
4.0,99.0,-0.55887055
4.0,79.0,-0.10365651
4.0,199.0,0.14277232
4.0,297.0,0.07657278
4.0,23.0,-0.037650585
4.0,0.0,-0.45314318
4.0,17.0,-0.46241334
4.0,5.0,0.33381277
4.0,12.0,-0.17816174
4.0,7.0,0.2153844
4.0,10.0,0.035408735
4.0,45.0,-0.7819619
4.0,157.0,0.40037006
4.0,175.0,0.26162374
4.0,247.0,-0.08082923
4.0,234.0,-0.07146325
4.0,268.0,-0.024053011
4.0,264.0,-0.038292646
4.0,226.0,-0.042171884
4.0,229.0,-0.05529573
4.0,212.0,0.048144855
4.0,196.0,0.16049683
4.0,220.0,-0.00861254
4.0,170.0,0.2957627
4.0,148.0,0.49848884
4.0,77.0,-0.0937213
4.0,161.0,0.3654836
4.0,132.0,0.5291058
4.0,128.0,0.37949485
4.0,117.0,-0.46775487
4.0,92.0,-0.4073444
4.0,69.0,-0.119632594
4.0,65.0,-0.13134043
4.0,22.0,-0.019568529
4.0,52.0,-0.33051708
4.0,60.0,-0.11940764
4.0,56.0,-0.14017777
4.0,58.0,-0.119768776
4.0,75.0,-0.092777714
5.0,294.0,0.0338699
5.0,181.0,0.25521138
5.0,152.0,0.27025
5.0,118.0,-1.5013733
5.0,286.0,0.006159857
5.0,281.0,-0.009800842
5.0,276.0,-0.024978483
5.0,272.0,-0.036063194
5.0,258.0,-0.06065417
5.0,256.0,-0.06182628
5.0,252.0,-0.062231146
5.0,224.0,0.00804254
5.0,216.0,0.05351658
5.0,208.0,0.108203664
5.0,207.0,0.11528818
5.0,201.0,0.15650646
5.0,192.0,0.2077671
5.0,186.0,0.23445663
5.0,173.0,0.29174036
5.0,144.0,0.06738617
5.0,124.0,-1.2877318
5.0,122.0,-1.393071
5.0,109.0,-0.8096386
5.0,107.0,-0.53935933
5.0,97.0,-0.07493
5.0,89.0,0.045205466
5.0,74.0,-0.06487029
5.0,136.0,-0.38500762
5.0,99.0,-0.12726982
5.0,79.0,-0.033024307
5.0,199.0,0.16922152
5.0,297.0,0.04636015
5.0,23.0,0.17390889
5.0,0.0,0.059259005
5.0,17.0,-0.5749238
5.0,5.0,0.7136259
5.0,12.0,0.07811877
5.0,7.0,0.5048731
5.0,10.0,0.0721535
5.0,45.0,-0.38621023
5.0,157.0,0.31444755
5.0,175.0,0.28213578
